"<iframe src=""https://player.vimeo.com/video/708654015?h=c69c94c1b9"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",SORTIERUNG,AUSSTELLUNGSTITEL / PROJEKTTITEL (max. 60 ZmL),UNTERTITEL DE (max. 150 ZmL),UNTERTITEL EN (ÜBERNIMMT MAGDALENA)  (max. 150 ZmL),DATUM ,ZEIT START,ZEIT ENDE,ORT (UNI),STOCKWERK,RAUMBEZEICHNUNG  / Zusatz,ADRESSE TITEL,ADRESSE GASSE ,ADRESSE PLZ,ADRESSE MAPS LINK,FORMAT (Festivalprogramm) ,ABTEILUNG,INSTITUT ,TEXT KURZ DE (300-600 ZmL) ,TEXT KURZ EN PROJEKTTEXT (300-600 ZmL) ÜBERNIMMT MAGDALENA,YOUTUBE,VIMEO,SOUNDCLOUD,PROJEKTWEBSITE,NOTIZ HARDFACTS ÜBERSCHRIFT DE,NOTIZ HARDFACTS TEXT DE,NOTIZ HARDFACTS ÜBERSCHRIFT EN ,NOTIZ HARDFACTS TEXT EN ,NOTIZ COPYTEXT ÜBERSCHRIFT DE,NOTIZ COPYTEXT TEXT DE ,NOTIZ COPYTEXT ÜBERSCHRIFT EN,NOTIZ COPYTEXT TEXT EN,AAA (Angewandte Abschluss Arbeiten):, 
121,38,Drones & Rabbits Play,PSK anti-game mechanics,PSK anti-game Mechanics,2022-06-28,15:00,,PSK,005,Café Exchange,,,,,Performance,Experimental Game Cultures,Institut für Kunst und Gesellschaft,"In einem performativen Spiel mit Anti-Game-Mechanik demonstrieren wir Appropriation, Aneignung, als eine dem subversiven Spiel mit Technologien inhärente Form der Kunst. – Ähnlich der Parcours-Kultur in den Städten wird in einem ephemeren Moment das Gesamtkunstwerk PSK-Kassenhalle zum Spielfeld konzeptueller Soundperformance mit medialem Spielzeug. Im situativen Game mit dynamischer Anti-Mechanik genießen wir Echos und Hall, die Transparenz des Glashauses, das Zwischenspiel im Jahr eins experimenteller Spielkultur.","In a performative game with anti-game mechanics, we demonstrate appropriation as a form of art inherent to the subversive game with technologies. In an ephemeral moment, similar to the practice of cultural routes in the cities, the gesamtkunstwerk PSK Savings Bank becomes a playing field for a conceptual sound performance with media toys. In a situational game with dynamic anti-mechanics, we enjoy echoes and reverberations, the transparency of the glass house, and the interlude in Year One of Experimental Play Culture.","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/UG8CzcrZ8eY"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",,,,,,,,Beteiligte ,Studierende und Lehrende der Abteilung Experimental Game Cultures,Contributers,Students and staff of the Department of Experimental Game Cultures,,
122,39,Shakespeare in a box//Human in a box,,,"2022-06-28, 2022-07-01",16:00,,OKP-Schwanzer-Trakt,050,Raum 516,,,,,Performance,Bühnen- und Filmgestaltung,Institut für Bildende und Mediale Kunst,"„Das Mißfallen des neunzehnten Jahrhunderts am Realismus ist die Wut Calibans, der sein eigenes Gesicht im Spiegel sieht.“ – Vorwort von Oscar Wilde zu Dorian Gray. Was haben wir mit Caliban und/oder Dorian Gray gemein? Unser Selbstbild wird stetig durch die Blicke von außen konstituiert und wir sind so gezwungen, uns immer mit uns selbst auseinanderzusetzen. Ein Blick in den Spiegel. Gefällt uns, was wir sehen? Bin ich schön? Was bin ich? Wo fängt meine performative Persona an und wo hört mein authentisches Ich auf? Ich stecke in dieser Haut, aus der ich nicht herausfahren kann. Ich wäre so gern …","“The nineteenth-century dislike of Romanticism is the rage of Caliban seeing his own face in a glass.”
—Foreword by Oscar Wilde to “The Picture of Dorian Gray.” 
What do we have in common with Caliban and/or Dorian Gray? Our image or ourselves is continuously constructed by the outside gaze; we are thus constantly forced to confront ourselves. A look in the mirror: do we like what we see? Am I beautiful? What am I? Where does my performative persona begin and where does my authentic self end? I’m inside this skin I can’t get out of. I would so like to be . . . ",,,,,,,,,Beteiligte ,Marlen Duken,Contributers,Marlen Duken,,
123,40,KEINE ANGST; ein Atem nach außen,"Rauminstallation nach ""Atem"", Samuel Beckett","Installation after ""Breath, Samuel Beckett""","2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",15:00,18:00,OKP-Schwanzer-Trakt,050,Raum 513,,,,,Performance,Bühnen- und Filmgestaltung,Institut für Bildende und Mediale Kunst,"""Man kommt, man schreit
und das ist das Leben.
Man schreit, man geht
und das ist der Tod.""
Aus: Knowlson, James (2001). Samuel Beckett. Eine Biographie. Frankfurt am Main: Suhrkamp.","“One enters and cries
And that’s life.
One cries and exits
And that’s death.”
From: James Knowlson (2004), “Damned to Fame: The Life of Samuel Beckett”",,,,,,,,,,,,,Basak Dasdan,
124,41,Reif für die Insel/Schwarzwasser 2.0,Rauminstallation zu „Schwarzwasser“ von Elfriede Jelinek,"Installation on ""Black Water"" by Elfriede Jelinek","2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",15:00,18:00,OKP-Schwanzer-Trakt,060,B1,,,,,Performance,Bühnen- und Filmgestaltung,Institut für Bildende und Mediale Kunst,"WER IST DIESER GOTT / WER HAT IHN ERSCHAFFEN / KANN MAN EINEN GOTT
ÜBERHAUPT ERSCHAFFEN / ODER MUSS MAN IHN SICH ANSCHAFFEN / 
INDEM MAN IHN ANBETET","WHO IS THIS GOD / WHO CREATED HIM / CAN YOU EVEN CREATE A GOD
/ OR DO YOU HAVE TO ACQUIRE HIM / BY WORSHIPING HIM",,,,,,,,,,,,,Dominique Wiesbauer,
125,42,IMPROVISATION – Kunst aus dem Koffer,Pop-Up-Ausstellung,Pop Up Exhibition,2022-06-29,16:00,,VZA 7,004,Stiegenhaus und weitere Orte ,,,,,Performance,Medientheorie,Institut für Bildende und Mediale Kunst,"Kunstpräsentationen in Form von Boxen oder Koffern sind seit Duchamps Boîte-en-valise fixer Bestandteil mobiler Ausstellungskonzepte. Die Leichtigkeit und kollektiven Möglichkeiten dieser Objektkunst führten in der FLUXUS-Bewegung zu vielgestaltigen Ausführungen und finden sich auch heute in zahlreichen Projekten. Der Beitrag „IMPROVISATION – Kunst aus dem Koffer“ ergänzt eine mobile Pop-Up-Ausstellung aus dem Koffer um die Möglichkeiten des Performativen. In Form von Improkits werden die Behältnisse zur Werkzeugkiste für performative Interventionen.
Performance am Mittwoch, 2022-06-29, 16:00
VZA 7, Stiegenhaus ","Ever since Duchamp’s “Boîte-en-valise,” art presentations in the form of boxes or suitcases have been an integral part of mobile exhibition concepts. The light-weightedness and collective possibilities of this form of object art led to a variety of works in the FLUXUS movement and can still be found in numerous projects today. The contribution “IMPROVISATION—Art out of a Suitcase” adds the possibilities of performance to a mobile pop-up exhibition out of a suitcase. In the form of improv kits, the containers become tool boxes for performative interventions.

Performance on Wednesday, June 29, 4 p.m.
VZA 7, Staircase",,,,,,,,,Beteiligte ,"Vito Baumüller, Francesca Centonze, Noel Luftensteiner, Shahrzad Nazarpour und Studierende der Abteilung Medientheorie",Contributers,"Vito Baumüller, Francesca Centonze, Noel Luftensteiner, Shahrzad Nazarpour and students of the Department of Media Theory",,
126,43,Eifuku,Sound und Zeichnung: Performance,Sound and Drawing: Performance,2022-06-28,18:00,,VZA 7,004,Gang + Nischen beim Auditorium,,,,,Performance,Fotografie,Institut für Bildende und Mediale Kunst,"Florian Schwarz wird mit Justus Lietzke im Rahmen ihrer Kooperation „Eifuku“  (eifuku.bandcamp.com) eine Performance realisieren, die auf einem bestehenden Soundprojekt („Eifuku - Collages 1"") basiert. Die Performance schließt Zeichnung, Sound und Objekte ein und untersucht die Interaktion dieser einzelnen Elemente miteinander sowie deren Bezug zum Raum.","Together with with Justus Lietzke, Florian Schwarz has created a performance based on an existing sound project (“Eifuku—Collage 1”) as part of their cooperation “Eifuku” (eifuku.bandcamp.com). The performance includes drawing, sound, and objects and explores the interaction between these individual elements and the surrounding space.",,,,,,,,,Beteiligte ,Intelligibles Zeichnen – Florian Schwarz in Kooperation mit Justus Lietzke (Eifuku) ,Contributers,Intelligibles Zeichnen – Florian Schwarz in cooperation with Justus Lietzke (Eifuku),,
127,44,Das Wissen der Stadt,"Performances, Workshops, Spaziergänge","Performances, Workshops, Walks",2022-06-30,13:30,21:00,Expositur Paulusplatz,,"Paulusplatz 5 + Rochusmarkt, Georg-Coch-Platz",,,,,Performance,Ortsbezogene Kunst,Institut für Bildende und Mediale Kunst,"Die Abteilung Ortsbezogene Kunst nimmt öffentliche Orte des persönlichen Alltags in den Blick und verhandelt dabei Fragen zu Autorität, Besitz, Erfahrung und Begegnung.
Mit dem performativen Programm lädt sie Besucher*innen ein, das Wissen über die Stadt miteinander zu teilen, Raumwahrnehmung zu verändern und herauszufordern.
Der Dérive-Workshop bei der ehem. Postsparkasse führt anschließend zum Paulusplatz, wo das Programm mit Performances, Interventionen und Spaziergängen fortgeführt wird. Welche Rolle haben wir in der urbanen Szenografie und welche Räume können wir miteinander schaffen?
","The department of Site-Specific Art takes a look at public locations of everyday personal life and explores questions concerning authority, possessions, experiences, and encounters.
Its performative program invites visitors to share their knowledge of the city, to alter and challenge their spatial perception.
Afterward, the Dérive workshop at the former Postal Savings Bank leads participants to the Paulusplatz, where the program continues with performances, interventions, and walks. What role do we play in the urban scenography and what spaces can we create together?",,,,,,,,,Beteiligte ,"Silja Beck + Silke Riis, Pauline Hosse-Hartmann, Philippa Jochim, Arina Nekliudova + Maryam Schahidifar, Bertilla Spinas, Ida Zahradnik",Contributers,"Silja Beck + Silke Riis, Pauline Hosse-Hartmann, Philippa Jochim, Arina Nekliudova + Maryam Schahidifar, Bertilla Spinas, Ida Zahradnik",,
128,45,Decoding it the hard way,,,2022-07-01,18:00,,PSK,005,Angewandte Performance Lab (APL),,,,,Performance,Digitale Kunst,Institut für Bildende und Mediale Kunst,"„Decoding it the hard way"" ist eine Performance, die die Interaktion mit einem verschlüsselten System beschreibt. Zwei Serverschränke sind verbunden mit 96 Netzwerkkabeln. Diese symbolisieren offengelegte Connections. Die Performer*innen versuchen, diese Blackbox mit brachialer Gewalt zu entschlüsseln.",“Decoding it the hard way” is a performance that visualizes an interaction with an encrypted system. Two server cabinets are connected with 96 network cables symbolizing disclosed connections. The performers attempt to decode this black box with brute force.,,,,,,,,,Beteiligte ,"Ferdinand Doblhammer, Lea Karnutsch ",Contributers,"Ferdinand Doblhammer, Lea Karnutsch",,
129,46,"Ja, Was Machen Wir Mit Den Stimmen?, 2021 – 2022",,,2022-07-01,19:00,,VIE,Universitätsgalerie der Angewandten im Heiligenkreuzer Hof,,,,,,Performance,Kunstsammlung und Archiv,Kunstsammlung und Archiv,"„Ja, Was Machen Wir Mit Den Stimmen?"" ist ein in Zusammenarbeit mit Kunstsammlung und Archiv entstandener dreiteiliger Werkzyklus von Marei Buhmann und Marie Yaël Fidesser, der als Ankündigung von „Schule Oberhuber. Eine Sammlung als Programm"" (4. Mai – 2. Juli) in der Universitätsgalerie der Angewandten im Heiligenkreuzer Hof konzipiert wurde. Als Teil des Rahmenprogramms findet eine performative Auseinandersetzung der Künstlerinnen mit und in der Ausstellung statt.
 ","“Yes, what should we do with the voices?” is a three-part series of works by Marei Buhmann and Marie Yaël Fidesser in collaboration with the Art Collection and Archive, conceived as an announcement of “The Oberhuber School. A Collection as a Program” (May 4–July 2) in the Angewandte University Gallery in Heiligenkreuzer Hof. As part of the supporting program, the artists will give a performance in and with the exhibition.",,,,,,,,,Beteiligte ,Marei Buhmann und Marie Yaël Fidesser mit der Abteilung Kunstsammlung und Archiv,Contributers,Marei Buhmann and Marie Yaël Fidesser with the Department of the Art Collection and Archive,,
130,47,Gebet,,,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",,,VZA 7,,"Pop-up-Performance in Gängen,  auf Vorplätzen, in Innenhöfen, etc.",,,,,Performance,TransArts,Institut für Bildende und Mediale Kunst,"Dein Körper wird leer, meiner füllt sich. Dort halte ich dich, bis es uns zu viel wird. 
Finden uns in einem Rhythmus, in dem du durch mich wirst, ich durch dich werde.

… /du durch mich / aufmerksam / ich durch dich / ruhig / du durch mich / verzögert / ich durch dich / angestrengt / du durch mich / nachgebend / ich durch dich / angekommen / du durch mich / spielerisch / ich durch dich / amüsiert / du durch mich / weich / wir durch einander / einander abholend / wir durch einander / durcheinander / …","Your body empties out, mine is filling up. I’ll hold you there until it gets to be too much for us. Find ourselves in a rhythm where you become through me, I become through you.
. . . / you through me / attentive / me through you / calm / you through me / delayed / me through you / strained / you through me / yielding / me through you / arrived / you through me / playful / me through you / amused / you through me / soft / we through each other / picking each other up / we through each other / mixed up / . . .",,"<iframe src=""https://player.vimeo.com/video/708654015?h=c69c94c1b9"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>
<p><a href=""https://vimeo.com/708654015"">Gebet</a> from <a href=""https://vimeo.com/user96490733"">Verena Frauenlob</a> on <a href=""https://vimeo.com"">Vimeo</a>.</p>",,,Zeitpunkt,Pop-up-Performance – 1 x pro Tag,Time,Pop-up-Performance – 1 x per Day,Beteiligte ,Verena Frauenlob – Studierende der Abteilung TransArts,Contributers,Verena Frauenlob – student of the Department of TransArts,,
131,48,DJs & Live-Acts Opening,,,2022-06-28,19:00,0:00:00,Oskar-Kokoschka-Platz,,Bühne,,,,,Sound,,,"Nach zwei Jahren pandemie-bedingter Pause gibt es am Oskar-Kokoschka-Platz wieder eine Bühne für Musik: Studierende, Absolvent*innen und Lehrende spielen mit ihren Bands und legen auf.
 
Di, 28.06.
19:00 Uhr – What's Inside a Girl (live)
20:00 Uhr – R o n i a & the little band (live)
21:00 Uhr – Mermaid & Seafruit (live)
22:00 Uhr – Masha Dabelka (DJ-Set)
 ","After a two-year break due to the pandemic, once again there will be a stage for music at Oskar-Kokoschka-Platz: students, graduates and teachers will play with their bands and DJs.
 
Tue, June 28
7 p.m. – What's Inside a Girl (live)
8 p.m. – R o n i a & the little band (live)
9 p.m. – Mermaid & Seafruit (live)
10 p.m. – Masha Dabelka (DJ set)",,,,,,,,,,,,,,
132,49,Akustische Intervention in der Kassenhalle,,,2022-06-29,18:00,,PSK,005,Café Exchange,,,,,Sound,Angewandte Interdisciplinary Lab ,,Mittels der exakt auf die Architektur und Materialität der Kassenhalle abgestimmten Sound-Intervention von Karl Salzmann werden die Kassenhalle und das Gebäude der ehemaligen Postsparkasse selbst zum Instrument und Klangkörper. ,"Karl Salzmann’s sound intervention, which is precisely tailored to the hall’s architecture and materiality, transforms the building of the former PSK into an instrument and sound corpus. ",,,,ail.angewandte.at,,,,,Beteiligte ,Karl Salzmann,Contributers,Karl Salzmann,,
133,50,Sounds of the Living,"Live Performance von Pia Palme, Paul Ebhart & Fabian Lanzmaier","Live Performance from Pia Palme, Paul Ebhart & Fabian Lanzmaier",2022-06-29,19:00,22:00,PSK,005,Café Exchange,,,,,Sound,Angewandte Interdisciplinary Lab,,"Die Reihe „Sounds of the Living"" im Café Exchange hinterfragt den Begriff der Natur und des Lebenden. Unser Verständnis von Natur hat sich im Laufe der Zeit verändert, ebenso wie die Klanglandschaft auf dem Planeten Erde. Natürliche Klänge von nichtbiologischen Elementen wie Wind, Wasser oder Erdbewegungen wurden durch Klänge von Lebenden sowie Technologie ergänzt. Wie Anna Tsing die „dritte Natur"" als einen Moment des Bewusstseins für lebendige Aktivitäten aller Lebewesen vorschlägt, werfen diese Klangperformances einen genaueren Blick auf unsere Umgebung und die Klanglandschaften von heute.","The “Sounds of the Living” series of interventions at the Café Exchange explores the concept of living matter and of nature. Our understanding of the two has changed over time, as has the soundscape on planet Earth. Accordingly, natural sounds of non-biological elements such as the movements of wind, water, and earth have been continuously augmented by the sounds of living organisms and technology. Much in the way Anna Tsing proposes a “third nature” as a moment of awareness of the living activities of all beings, these sound performances take a closer look at our surroundings and the soundscapes of today.",,,,ail.angewandte.at,,,,,Beteiligte ,"Pia Palme - IN A FORMER POST OFFICE | a performative ecology, Paul Ebhart - BEUMA, Fabien Lanzmaier - renaming bugs",Contributers,"Pia Palme - IN A FORMER POST OFFICE | a performative ecology, Paul Ebhart - BEUMA, Fabien Lanzmaier - renaming bugs",,
134,51,infinity rug,Klang-Séance zum Eintauchen,Sound Séance for immersion,2022-06-30,18:00,22:00,PSK,005,Café Exchange,,,,,Sound,Angewandte Interdisciplinary Lab,Besondere Universitätseinrichtungen,"„infinity rug"" wurde während der Quarantäne von Lou Drago und marum initiiert. Die Reihe von Klang-Séancen lädt ein, neue Wege für ein intimes Zusammensein zu erkunden, Fürsorge neu zu lernen, und bietet Raum für Reflexion und Introspektion. Indem das Private in den öffentlichen Raum getragen wird, kreiert es einen Moment des kollektiven Nachdenkens, des Zuhörens und der Begegnung. Klanglandschaften aus Field Recordings, Ambient- und Deep-Mind-Musik werden mit sanften und zeremoniellen Elementen verwoben. Bitte Teppich oder Polster mitnehmen.","Conceived during the quarantines of 2020 in the form of small gatherings for home listening, and bringing together years of experiments from other artistic projects, “infinity rug” is a series of sonic seances in which sound, collective learning, and intimate care create a space of togetherness. Hosts Lou Drago and marum bring the domestic into the public realm, tentatively exploring new ways of being together and offering a space for reflection, rejuvenation, and introspection. From 6 p.m. to 10 p.m., we will gently guide you through a soundscape of field recordings and ambient, experimental, and deep-mind music interwoven with soft, somatic, and ceremonial performances and hosting texts and poetry, scents, textiles, teas, and other sensorial treats. Visitors are invited to bring their own rug to contribute to a larger rug constellation. Lay down and get cozy with us, drift off with us.",,,,ail.angewandte.at,,,,,Beteiligte ,Lou Drago und marum,Contributers,Lou Drago and marum,,
135,52,DJs & Live-Acts Closing,,,2022-07-01,19:00,2:00,Oskar-Kokoschka-Platz,,Bühne,,,,,Sound,,,"Nach zwei Jahren pandemie-bedingter Pause gibt es am Oskar-Kokoschka-Platz wieder eine Bühne für Musik: Studierende, Absolvent*innen und Lehrende spielen mit ihren Bands und legen auf.

Fr, 01.07.
19:00 Uhr – Oko Oko (DJ-Set)
20:00 Uhr – Raven and Phan (Live)
21:00 Uhr – Adorno (DJ-Set)
23:00 Uhr – Golbon  (DJ-Set)
0:30 Uhr – Claus Schöning (DJ-Set)","After a two-year break due to the pandemic, once again there will be a stage for music at Oskar-Kokoschka-Platz: students, graduates and teachers will play with their bands and DJs.
 
Fri, July 1 
7 p.m. – Oko Oko (DJ-Set)
8 p.m. – Raven and Phan (Live)
9 p.m. – Adorno (DJ-Set)
11 p.m. – Golbon  (DJ-Set)
0:30 a.m. – Claus Schöning (DJ-Set)",,,,,,,,,,,,,,
136,53,Wanderlust Walk,,,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,Oskar-Kokoschka-Platz,,Weg von VZA 7 zur Expositur Rustenschacherallee,,,,,Tour,Zentrum Fokus Forschung,Zentrum Fokus Forschung,"Wanderlust ist unterwegs sein und sich begegnen! Begib dich auf eine Wanderung, um dabei miteinander darüber nachzudenken und sich auszutauschen, wie sich Forschung im permanenten Wandel ereignet und entwickelt. Starte die Route an einem der Standorte des Zentrum Fokus Forschung in der Vorderen Zollamtsstraße 7, 1030 Wien oder in der Rustenschacherallee 2–4, 1020 Wien. Auf dem verbindenden Weg dazwischen warten hinter QR-Codes versteckt dokumentierte Prozesse der jeweiligen Projekte, die Bezug auf die Manifestationen an den beiden Orten nehmen.","“Wanderlust” means being outside and encountering people! Go for a walk to reflect with one other and exchange ideas on how research takes place and evolves in a process of constant change. Start at one of the two locations of the Focus Research Center at Vordere Zollamtsstrasse 7, 1030 Vienna or Rustenschacherallee 2–4, 1020 Vienna. On the route connecting the two sites, documented processes of the respective projects can be accessed via QR codes that refer to the manifestations at the two locations.",,,,https://zentrumfokusforschung.uni-ak.ac.at/_/af22/wanderlust_walk.html,,,,,Beteiligte ,Forschungsprojekte der Angewandten,Contributers,Research Projects of the Angewandte,,
137,54,Transmedial unterwegs – Zwischen Brasilien und Wien,"Preview-Führung durch die Ausstellung „O Traduzir / Übersetzung"" im Kulturzentrum der brasilianischen Botschaft Wien",Preview tour of the exhibition 'O Traduzir / Translation' at the Cultural Centre of the Brazilian Embassy Vienna,2022-06-28,15:00,17:00,Oskar-Kokoschka-Platz,,"Start: OKP Infopoint 
Ende: Cultural Brasil-Àustria, 1040 Wien",,,,,Tour,Zentrum Didaktik für Kunst und interdisziplinären Unterricht,"Institut für Kunstwissenschaften, Kunstpädagogik und Kunstvermittlung","200 Jahre brasilianische Unabhängigkeit, 200 Jahre voller Kunst & Literatur – manches beinahe vergessen, anderes aktueller denn je. Welche Rolle spielte die Wienerin Leopoldine von Österreich bei der brasilianischen Unabhängigkeit und was lässt sich auf den Spuren dieser einzigartigen Verbindung noch entdecken? Die Führung mit Künstler*innen und dem Kurator des Kulturzentrums der brasilianischen Botschaft Wien gibt einen Einblick hinter die Kulissen der Ausstellung „O Traduzir / Übersetzung"" und zeigt, wie historisch gewachsene künstlerische und literarische Werke transmedial verknüpft werden. ","200 years of Brazilian independence, 200 years of art & literature—some of it nearly forgotten, and some more relevant than ever. What role did the Viennese Leopoldine of Austria play in Brazilian independence, and what can still be learned from the traces of this singular connection? The guided tour with artists and the curator of the Cultural Center of the Brazilian Embassy in Vienna offers a glimpse behind the scenes of the exhibition “O Traduzir / Translation” and shows how artistic and literary works that have evolved historically are linked transmedially. ",,,,,,,,,Beteiligte ,"Zentrum Didaktik für Kunst und interdisziplinären Unterricht mit Unterstützung des Centro Cultural Brasil-Áustria – Ruth Mateus-Berr, Eva Greisberger, L. Vanessa Gruber, Marcelo Gama und
Wolf Miksits, Mattia Minelli, Julie Kohn, Isabella Burtscher, Lisa
Waldner",Contributers,"Center for Didactics of Art and Interdisciplinary Education in collaboration with Centro Cultural Brasil-Áustria – Ruth Mateus-Berr, Eva Greisberger, L. Vanessa Gruber, Marcelo Gama und
Wolf Miksits, Mattia Minelli, Julie Kohn, Isabella Burtscher, Lisa
Waldner",,
138,55,Dérive Walk,,,2022-06-30,13:00,,Oskar-Kokoschka-Platz,,Start beim OKP Infopoint – Spaziergang von Ehem. Postsparkasse zum Paulusplatz,,,,,Tour,Ortsbezogene Kunst,Institut für Bildende und Mediale Kunst,"In einem Workshop werden die Besucher*innen dazu eingeladen, einen Dérive Spaziergang durch die Stadt zu unternehmen, der zum Georg-Coch-Platz und anschließend zum Paulusplatz führt. In dieser Einführung in die gesamte Ausstellung der Abteilung Ortsbezogene Kunst wird ""das Wissen der Stadt"" als ein offener Prozess der Wahrnehmung des urbanen Raums durch Blick, Gedanke, Schritt, Absicht und Handlung erkundet und auf die geeignetste Weise fixiert.","In a workshop, visitors are invited to take a Dérive walk through the city, which leads to Georg Coch Plaza and then to Paulusplatz. In this introduction to the overall exhibition of the Site-Specific Art department, “the city’s knowledge” is explored as an open-ended process of perceiving urban space through looking, thinking, and walking, as well as intention and action, and fixed in the most appropriate way.",,,,https://www.google.com/maps/d/u/0/viewer?mid=1HZtdWqOIUJRH41j-KkV2POmdHr_QDpr1&ll=48.20026196989167%2C16.391450450000008&z=15,,,,,Beteiligte ,"Studierende der Abteilung Ortsbezogene Kunst: Arina Nekliudova, Maryam Schahidifar",Contributers,"Students of the Department of Site-Specific Art: Arina Nekliudova, Maryam Schahidifar",,
139,56,"Bring Your Own Vogel! Bring Deinen Vogel mit!
","Kollektive Radtour mit Stadtklang, „Vogel“-Geschichten, Zwitscher-Chor und Picknick im Fritzipark","Collective Bike Tour With City Sounds, “Bird” Stories, Twittering Choir and Picnic at Fritzipark
",2022-06-30,15:00,,Oskar-Kokoschka-Platz,,"Start beim OKP Infopoint – Radtour von der Angewandten in den Fritzi-Massary-Park, Offenbachgasse, 1020 Wien ",,,,,Tour,Social Design,Institut für Kunst und Gesellschaft,"Ein Vogelschwarm zieht auf Rädern durch die Straßen. Zufälligerweise zur selben Zeit am selben Ort. Aus der Stadt raus oder rein? Warum kreisen manche Vögel auf der Stelle und andere streifen durch die Welt? Bewegen sich die Vögel in einem geordneten Chaos, folgen sie dem Schwarm oder nutzen sie den Windschatten anderer? Auf einer geflügelten Radtour initiieren wir spektakuläre Manöver, lauschen dem Zwitschern der Stadt, fangen mehrstimmige Geschichten über umstrittene Orte ein und landen bei einem solidarischen Picknick im Park. Was bist Du für ein Vogel? Bring your bike and bird!","A flock of birds bikes through the streets. By coincidence, in the same place at the same time. Are they going into or out of town? Why do some birds circle in place and others traverse the globe? Do the birds move in an orderly chaos, are they following the flock, or are they using the slipstream of others? On a winged bike tour, we undertake spectacular maneuvers, listen to the city’s chirping, catch hold of polyphonic stories about controversial places, and end up at a picnic of solidary in the park. What kind of bird are you? Bring your bike and bird! 
",,,,,,,,,Beteiligte ,"Ein Social Design Projekt in Kooperation mit Construction Choir Collective, Digitale Kunst, RAD Performance und Studio Praxistest
Dila Demircan Ozer, Martin Färber, Gratis Kaiserin, Uli Kühn, Paul Reza Klein, Martin Riesing, Christina Schraml, Anna Vasof, Stefan Wiltschegg, Conny Zenk, Robert Zimmermann",Contributers,"A social design project in cooperation with Construction Choir Collective, Digital Art, RAD Performance and Studio Praxistest, Dila Demircan Ozer, Martin Färber, Gratis Kaiserin, Uli Kühn, Paul Reza Klein, Martin Riesing, Christina Schraml, Anna Vasof, Stefan Wiltschegg, Conny Zenk, Robert Zimmermann",,
140,57,After-Work-Tour mit EduArtMusic,"Kunst, Musik und Bildung vernetzt - EduArtMusic interuniversitäre Plattform künstlerisches Lehramt ","Art, music and education interconnected – EduArtMusic inter-university platform for artistic teacher training",2022-07-01,15:00,17:00,Oskar-Kokoschka-Platz,,"Start: Infopoint (Oskar-Kokoschka-Platz)
Ende: Akademie der bildenden Künste Wien,
Schillerplatz, 1010 Wien",,,,,Tour,Zentrum Didaktik für Kunst und interdisziplinären Unterricht,"Institut für Kunstwissenschaften, Kunstpädagogik und Kunstvermittlung","EduArtMusic – interuniversitäre Plattform der Akademie der bildenden Künste, der Universität für Musik und darstellende Kunst und der Universität für angewandte Kunst Wien – lädt zum Kennenlernen ein. Bei einem Spaziergang stellt sich EduArtMusic vor. Die Kollaboration der drei Universitäten bildet zugleich die Tourroute und endet mit einem gemeinsamen Ausklang beim After-Work-Drink.
Mit Unterstützung durch den Landgasthof „Zum Schwarzen Bären"", Emmersdorf an der Donau.","EduArtMusic—an inter-university platform between the Academy of Fine Arts, the University of Music and Performing Arts, and the University of Applied Arts, Vienna—invites you for a get-together. EduArtMusic introduces itself during an urban walk. The collaboration of the three universities also dictates the tour route and will conclude with a collective after-work drink. With the support of the country inn “Zum Schwarzen Bären,” Emmersdorf an der Donau. ",,,,,,,,,Beteiligte ,"Zentrum Didaktik für Kunst und interdisziplinären Unterricht – Ruth Mateus-Berr, Barbara Holy-Kiermayr, Grit Oelschlegel, Eva Greisberger",Contributers,"Center for Didactics of Art and Interdisciplinary Education – Ruth Mateus-Berr, Barbara Holy-Kiermayr, Grit Oelschlegel, Eva Greisberger",,
